Task_name,Participant #,Runtime_mod,Movie_time,Absorption_response,Other_response,Problem_response,Words_response,Sounds_response,Images_response,Past_response,Distracting_response,Focus_response,Intrusive_response,Deliberate_response,Detailed_response,Future_response,Emotion_response,Self_response,Knowledge_response,Probe Version,Probe Number,Probe Duration
Movie Task-lms,subject_15,-11,146.23769249999896,5.0,9.0,10.0,5.0,7.0,10.0,6.0,5.0,2.0,7.0,5.0,2.0,7.0,10.0,6.0,4.0,6,0,120
Movie Task-lms,subject_15,-11,154.22332369996002,1.0999999999999976,4.8000000000000105,1.0,3.000000000000016,3.7000000000000095,1.0,4.100000000000017,7.400000000000006,3.3999999999999986,2.4999999999999987,2.100000000000001,4.0,1.0,1.0,2.7000000000000015,1.0,6,1,135
Movie Task-lms,subject_15,-11,128.25158440001542,3.100000000000009,1.9000000000000115,3.700000000000013,1.0,2.200000000000008,3.9000000000000097,2.500000000000005,1.1,6.599999999999994,1.6000000000000045,6.0,4.000000000000006,1.100000000000001,1.0,2.9000000000000017,1.1999999999999993,6,2,120
Movie Task-lms,subject_15,-11,114.18999990000157,5.100000000000017,3.0,2.5000000000000004,3.8000000000000096,2.2999999999999994,2.9999999999999982,3.1999999999999993,8.299999999999988,9.099999999999996,3.5000000000000058,5.500000000000005,4.500000000000007,2.7000000000000015,5.3000000000000025,3.3000000000000127,2.899999999999999,6,3,105
Movie Task-lms,subject_15,-11,142.1803171999636,9.0,3.6000000000000023,2.0,3.3000000000000163,3.1000000000000054,4.3999999999999995,4.199999999999999,2.699999999999998,2.8000000000000007,2.5999999999999988,7.700000000000005,2.6000000000000085,2.700000000000005,1.6999999999999993,6.700000000000012,3.7999999999999985,6,4,135
Movie Task-lms,subject_15,-11,4.66473360004602,1.7000000000000002,2.0,5.100000000000017,3.999999999999999,2.7000000000000086,2.0999999999999983,3.0,9.099999999999987,7.700000000000005,7.0,5.200000000000006,1.9000000000000008,2.2999999999999985,5.300000000000001,2.499999999999998,1.9999999999999982,6,5,4.66473360004602_end
Movie Task-c4,subject_15,11,138.0791069000261,2.5000000000000084,3.0,3.9000000000000026,1.7000000000000002,8.0,3.699999999999999,3.099999999999999,4.8000000000000105,4.0,8.0,5.899999999999998,2.5000000000000155,3.3999999999999986,4.600000000000014,1.0,2.900000000000016,14,0,105
Movie Task-c4,subject_15,11,201.96097999997437,3.899999999999999,4.60000000000001,3.0,3.500000000000002,5.500000000000012,1.0,5.700000000000015,8.0,7.9000000000000075,6.0,8.200000000000003,6.800000000000008,6.100000000000007,6.800000000000011,7.600000000000005,8.0,14,1,195
Movie Task-c4,subject_15,11,83.61595649999799,4.0,6.000000000000014,3.0000000000000053,5.900000000000011,4.600000000000003,4.0,1.0,1.3999999999999977,3.200000000000002,3.8000000000000025,5.400000000000016,1.0,5.800000000000011,10.0,3.7000000000000024,3.000000000000009,14,2,75
Movie Task-c4,subject_15,11,67.0197107999702,1.3999999999999977,6.900000000000011,5.600000000000005,6.0,2.0,5.000000000000011,4.0,5.0,6.0,1.5999999999999974,2.0,6.0,5.000000000000018,2.0,5.100000000000017,2.4999999999999987,14,3,60
