participant_number,Clip 1,Clip 2,Clip 3,Clip 4
001,2,22,7,20
002,21,10,5,1
003,18,14,8,17
004,19,12,20,13
005,8,1,3,21
006,16,2,4,10
007,10,11,14,19
008,0,4,1,3
009,14,9,6,0
010,1,3,21,22
011,7,20,10,9
012,5,6,15,23
013,12,5,9,11
014,11,17,16,6
015,23,13,22,7
016,6,15,2,8
017,13,21,11,16
018,20,23,17,15
019,3,8,23,18
020,15,16,18,14
021,22,7,13,2
022,17,18,0,5
023,4,0,19,12
024,9,19,12,4
025,16,2,4,10
026,1,3,21,22
027,4,0,19,12
028,11,17,16,6
029,7,20,10,9
030,18,14,8,17
031,22,7,13,2
032,20,23,17,15
033,23,13,22,7
034,17,18,0,5
035,19,12,20,13
036,12,5,9,11
037,0,4,1,3
038,13,21,11,16
039,14,9,6,0
040,6,15,2,8
041,9,19,12,4
042,21,10,5,1
043,15,16,18,14
044,8,1,3,21
045,2,22,7,20
046,10,11,14,19
047,3,8,23,18
048,5,6,15,23
049,2,22,7,20
050,14,9,6,0
051,21,10,5,1
052,19,12,20,13
053,20,23,17,15
054,12,5,9,11
055,22,7,13,2
056,16,2,4,10
057,13,21,11,16
058,10,11,14,19
059,3,8,23,18
060,8,1,3,21
061,6,15,2,8
062,5,6,15,23
063,15,16,18,14
064,9,19,12,4
065,7,20,10,9
066,0,4,1,3
067,1,3,21,22
068,4,0,19,12
069,17,18,0,5
070,11,17,16,6
071,18,14,8,17
072,23,13,22,7
073,19,12,20,13
074,4,0,19,12
075,6,15,2,8
076,17,18,0,5
077,3,8,23,18
078,9,19,12,4
079,18,14,8,17
080,0,4,1,3
081,20,23,17,15
082,1,3,21,22
083,12,5,9,11
084,5,6,15,23
085,11,17,16,6
086,22,7,13,2
087,8,1,3,21
088,14,9,6,0
089,7,20,10,9
090,23,13,22,7
091,15,16,18,14
092,21,10,5,1
093,13,21,11,16
094,2,22,7,20
095,10,11,14,19
096,16,2,4,10
097,13,21,11,16
098,5,6,15,23
099,8,1,3,21
100,0,4,1,3
101,1,3,21,22
102,9,19,12,4
103,16,2,4,10
104,19,12,20,13
105,2,22,7,20
106,18,14,8,17
107,22,7,13,2
108,10,11,14,19
109,23,13,22,7
110,11,17,16,6
111,17,18,0,5
112,20,23,17,15
113,12,5,9,11
114,4,0,19,12
115,21,10,5,1
116,7,20,10,9
117,6,15,2,8
118,3,8,23,18
119,15,16,18,14
120,14,9,6,0
