
participant_number,Clip 1,Clip 2,Clip 3,Clip 4
001,8,3,1,7
002,3,8,4,2
003,7,6,2,3
004,5,1,6,8
005,0,4,5,1
006,1,2,3,6
007,2,7,0,4
008,6,5,8,0
009,4,0,7,5
010,5,1,6,8
011,1,2,3,6
012,3,8,4,2
013,8,3,1,7
014,4,0,7,5
015,0,4,5,1
016,2,7,0,4
017,6,5,8,0
018,7,6,2,3
019,4,0,7,5
020,0,4,5,1
021,2,7,0,4
022,8,3,1,7
023,3,8,4,2
024,6,5,8,0
025,7,6,2,3
026,5,1,6,8
027,1,2,3,6
028,4,0,7,5
029,8,3,1,7
030,1,2,3,6
031,3,8,4,2
032,6,5,8,0
033,2,7,0,4
034,5,1,6,8
035,7,6,2,3
036,0,4,5,1
037,2,7,0,4
038,8,3,1,7
039,5,1,6,8
040,3,8,4,2
041,4,0,7,5
042,7,6,2,3
043,1,2,3,6
044,0,4,5,1
045,6,5,8,0
046,8,3,1,7
047,6,5,8,0
048,0,4,5,1
049,4,0,7,5
050,3,8,4,2
051,7,6,2,3
052,1,2,3,6
053,5,1,6,8
054,2,7,0,4
055,3,8,4,2
056,0,4,5,1
057,5,1,6,8
058,4,0,7,5
059,8,3,1,7
060,7,6,2,3
061,1,2,3,6
062,6,5,8,0
063,2,7,0,4
064,3,8,4,2
065,1,2,3,6
066,0,4,5,1
067,7,6,2,3
068,4,0,7,5
069,8,3,1,7
070,6,5,8,0
071,2,7,0,4
072,5,1,6,8
073,0,4,5,1
074,7,6,2,3
075,1,2,3,6
076,6,5,8,0
077,4,0,7,5
078,8,3,1,7
079,2,7,0,4
080,3,8,4,2
081,5,1,6,8
082,7,6,2,3
083,5,1,6,8
084,1,2,3,6
085,3,8,4,2
086,6,5,8,0
087,4,0,7,5
088,2,7,0,4
089,8,3,1,7
090,0,4,5,1
