participant_number,Clip 1,Clip 2,Clip 3,Clip 4,Clip 5,Clip 6
001,21,7,13,10,3,18
002,6,16,3,22,7,20
003,15,1,6,20,6,2
004,14,11,1,23,16,15
005,20,9,14,5,1,16
006,1,8,21,13,10,14
007,13,17,16,21,14,1
008,18,18,23,15,12,12
009,3,5,2,4,19,7
010,9,20,15,9,4,3
011,22,15,22,1,8,22
012,7,23,7,14,22,19
013,12,21,18,16,18,23
014,16,4,9,17,5,8
015,19,6,17,12,13,9
016,5,19,11,3,15,17
017,0,3,12,6,21,6
018,8,0,0,8,2,0
019,2,12,5,0,9,5
020,17,22,4,11,17,4
021,23,13,20,2,20,10
022,11,2,19,19,0,21
023,10,10,8,18,11,11
024,4,14,10,7,23,13
025,14,11,1,23,16,15
026,5,19,11,3,15,17
027,1,8,21,13,10,14
028,7,23,7,14,22,19
029,3,5,2,4,19,7
030,2,12,5,0,9,5
031,8,0,0,8,2,0
032,10,10,8,18,11,11
033,6,16,3,22,7,20
034,9,20,15,9,4,3
035,0,3,12,6,21,6
036,4,14,10,7,23,13
037,13,17,16,21,14,1
038,15,1,6,20,6,2
039,11,2,19,19,0,21
040,18,18,23,15,12,12
041,17,22,4,11,17,4
042,20,9,14,5,1,16
043,21,7,13,10,3,18
044,23,13,20,2,20,10
045,16,4,9,17,5,8
046,22,15,22,1,8,22
047,12,21,18,16,18,23
048,19,6,17,12,13,9
049,12,21,18,16,18,23
050,19,6,17,12,13,9
051,4,14,10,7,23,13
052,5,19,11,3,15,17
053,16,4,9,17,5,8
054,23,13,20,2,20,10
055,11,2,19,19,0,21
056,7,23,7,14,22,19
057,6,16,3,22,7,20
058,17,22,4,11,17,4
059,0,3,12,6,21,6
060,1,8,21,13,10,14
061,8,0,0,8,2,0
062,3,5,2,4,19,7
063,21,7,13,10,3,18
064,14,11,1,23,16,15
065,13,17,16,21,14,1
066,2,12,5,0,9,5
067,18,18,23,15,12,12
068,9,20,15,9,4,3
069,10,10,8,18,11,11
070,22,15,22,1,8,22
071,20,9,14,5,1,16
072,15,1,6,20,6,2
073,5,19,11,3,15,17
074,12,21,18,16,18,23
075,17,22,4,11,17,4
076,9,20,15,9,4,3
077,7,23,7,14,22,19
078,11,2,19,19,0,21
079,13,17,16,21,14,1
080,18,18,23,15,12,12
081,22,15,22,1,8,22
082,3,5,2,4,19,7
083,15,1,6,20,6,2
084,20,9,14,5,1,16
085,19,6,17,12,13,9
086,23,13,20,2,20,10
087,16,4,9,17,5,8
088,1,8,21,13,10,14
089,21,7,13,10,3,18
090,10,10,8,18,11,11
091,4,14,10,7,23,13
092,0,3,12,6,21,6
093,6,16,3,22,7,20
094,8,0,0,8,2,0
095,2,12,5,0,9,5
096,14,11,1,23,16,15
097,14,11,1,23,16,15
098,19,6,17,12,13,9
099,21,7,13,10,3,18
100,16,4,9,17,5,8
101,3,5,2,4,19,7
102,7,23,7,14,22,19
103,12,21,18,16,18,23
104,20,9,14,5,1,16
105,1,8,21,13,10,14
106,15,1,6,20,6,2
107,5,19,11,3,15,17
108,0,3,12,6,21,6
109,2,12,5,0,9,5
110,18,18,23,15,12,12
111,9,20,15,9,4,3
112,23,13,20,2,20,10
113,13,17,16,21,14,1
114,11,2,19,19,0,21
115,10,10,8,18,11,11
116,6,16,3,22,7,20
117,17,22,4,11,17,4
118,4,14,10,7,23,13
119,22,15,22,1,8,22
120,8,0,0,8,2,0
121,7,23,7,14,22,19
122,14,11,1,23,16,15
123,21,7,13,10,3,18
124,19,6,17,12,13,9
125,6,16,3,22,7,20
126,3,5,2,4,19,7
127,8,0,0,8,2,0
128,12,21,18,16,18,23
129,22,15,22,1,8,22
130,5,19,11,3,15,17
131,13,17,16,21,14,1
132,0,3,12,6,21,6
133,15,1,6,20,6,2
134,20,9,14,5,1,16
135,17,22,4,11,17,4
136,16,4,9,17,5,8
137,2,12,5,0,9,5
138,11,2,19,19,0,21
139,10,10,8,18,11,11
140,18,18,23,15,12,12
141,4,14,10,7,23,13
142,9,20,15,9,4,3
143,1,8,21,13,10,14
144,23,13,20,2,20,10
145,13,17,16,21,14,1
146,1,8,21,13,10,14
147,6,16,3,22,7,20
148,3,5,2,4,19,7
149,18,18,23,15,12,12
150,15,1,6,20,6,2
151,11,2,19,19,0,21
152,22,15,22,1,8,22
153,21,7,13,10,3,18
154,10,10,8,18,11,11
155,12,21,18,16,18,23
156,19,6,17,12,13,9
157,23,13,20,2,20,10
158,17,22,4,11,17,4
159,16,4,9,17,5,8
160,14,11,1,23,16,15
161,20,9,14,5,1,16
162,9,20,15,9,4,3
